"k_hat","m"
2,10
3,10
3,10
0,10
0,10
1,10
4,10
7,10
0,10
0,10
3,10
4,10
1,10
6,10
4,10
0,10
0,10
1,10
5,10
0,10
2,10
2,10
4,10
0,10
2,10
0,10
4,10
3,10
1,10
2,10
3,10
2,10
4,10
4,10
4,10
2,10
0,10
4,10
1,10
2,10
3,10
4,10
2,10
2,10
2,10
5,10
4,10
1,10
4,10
3,10
2,10
2,10
0,10
0,10
2,10
3,10
2,10
4,10
1,10
2,10
4,10
7,10
5,10
5,10
4,10
4,10
5,10
0,10
3,10
6,10
3,10
2,10
4,10
1,10
3,10
2,10
1,10
1,10
2,10
2,10
1,10
1,10
5,10
0,10
4,10
0,10
3,10
0,10
3,10
2,10
5,10
2,10
0,10
6,10
5,10
1,10
1,10
2,10
1,10
0,10
11,100
24,100
28,100
10,100
7,100
21,100
21,100
19,100
12,100
22,100
17,100
27,100
27,100
15,100
28,100
34,100
28,100
4,100
17,100
14,100
31,100
24,100
32,100
21,100
9,100
31,100
26,100
19,100
24,100
18,100
26,100
24,100
26,100
23,100
29,100
18,100
6,100
15,100
28,100
9,100
23,100
27,100
21,100
18,100
8,100
18,100
33,100
7,100
17,100
2,100
16,100
18,100
11,100
18,100
20,100
6,100
19,100
27,100
20,100
13,100
11,100
15,100
32,100
13,100
19,100
18,100
19,100
20,100
18,100
31,100
23,100
4,100
22,100
23,100
18,100
34,100
11,100
5,100
26,100
27,100
20,100
17,100
26,100
12,100
17,100
25,100
29,100
21,100
14,100
13,100
26,100
22,100
24,100
26,100
19,100
6,100
10,100
20,100
15,100
17,100
137,1000
171,1000
156,1000
179,1000
180,1000
203,1000
216,1000
196,1000
184,1000
194,1000
176,1000
200,1000
198,1000
164,1000
206,1000
153,1000
192,1000
208,1000
192,1000
148,1000
179,1000
172,1000
188,1000
181,1000
166,1000
190,1000
211,1000
208,1000
185,1000
183,1000
182,1000
196,1000
225,1000
203,1000
168,1000
188,1000
221,1000
193,1000
177,1000
185,1000
171,1000
205,1000
186,1000
171,1000
163,1000
175,1000
195,1000
133,1000
206,1000
194,1000
193,1000
176,1000
211,1000
152,1000
211,1000
194,1000
181,1000
134,1000
213,1000
196,1000
193,1000
181,1000
178,1000
140,1000
150,1000
122,1000
198,1000
198,1000
183,1000
177,1000
191,1000
161,1000
209,1000
240,1000
202,1000
213,1000
192,1000
161,1000
162,1000
182,1000
212,1000
176,1000
207,1000
138,1000
168,1000
227,1000
191,1000
173,1000
172,1000
222,1000
162,1000
190,1000
136,1000
137,1000
195,1000
223,1000
187,1000
167,1000
152,1000
206,1000
1945,10000
1969,10000
1810,10000
1827,10000
1874,10000
1856,10000
1816,10000
1907,10000
1939,10000
1806,10000
1909,10000
1825,10000
1755,10000
1809,10000
1721,10000
1782,10000
1824,10000
1779,10000
1884,10000
1961,10000
1731,10000
1846,10000
1802,10000
2018,10000
1896,10000
1877,10000
1837,10000
1803,10000
1881,10000
1784,10000
1906,10000
1767,10000
1852,10000
1860,10000
1773,10000
1909,10000
1841,10000
1792,10000
1891,10000
1816,10000
1866,10000
1788,10000
1797,10000
1822,10000
1903,10000
1740,10000
1689,10000
1844,10000
1758,10000
1840,10000
1938,10000
1744,10000
1974,10000
1763,10000
1843,10000
1918,10000
1798,10000
1831,10000
1642,10000
1911,10000
1997,10000
1899,10000
1721,10000
1838,10000
1935,10000
1873,10000
1886,10000
1829,10000
1708,10000
1811,10000
1858,10000
1873,10000
1802,10000
1914,10000
1820,10000
1836,10000
1791,10000
1816,10000
1911,10000
1886,10000
1611,10000
1804,10000
1911,10000
1892,10000
1808,10000
1852,10000
1843,10000
1831,10000
1812,10000
2014,10000
1744,10000
1769,10000
1880,10000
1909,10000
1822,10000
1697,10000
1672,10000
1757,10000
1928,10000
1805,10000
2,10
3,10
3,10
0,10
0,10
1,10
