"bound","FDP_bar","m"
"DKW",0.911740777122035,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.885388159809427,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0.92246763277783,10
"DKW",0,10
"DKW",0,10
"DKW",0.682829462509952,10
"DKW",0.909511293180552,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0.702687025547223,10
"DKW",0,10
"DKW",0.921556921858091,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.891882224719251,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0.912884470462884,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.915576035134738,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0.90586736782411,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0.707107115428092,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0.692578281339012,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",1,10
"DKW",0,10
"DKW",0,10
"DKW",0,10
"DKW",1,10
"DKW",1,10
"DKW",0.792336698479839,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.802812852142202,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",0.971074846159137,100
"DKW",0.969998927384545,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.951622763663707,100
"DKW",0.803394602802513,100
"DKW",1,100
"DKW",0.797722901767236,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",1,100
"DKW",0.969599198961563,100
"DKW",1,100
"DKW",1,100
"DKW",0.964560792014835,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.966632192677446,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",0.875330618196989,100
"DKW",0.736310187107916,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.882330407566622,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.870180184486738,100
"DKW",0.73728950643711,100
"DKW",1,100
"DKW",0.643657674658181,100
"DKW",0.874448421315201,100
"DKW",1,100
"DKW",1,100
"DKW",0.879380599389885,100
"DKW",0.735386837637219,100
"DKW",0,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.511440854943613,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.739789290853578,100
"DKW",1,100
"DKW",0.964401657068369,100
"DKW",0,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",1,100
"DKW",0.84507202827144,100
"DKW",0,100
"DKW",1,100
"DKW",1,100
"DKW",0,100
"DKW",0.899242520588244,1000
"DKW",0.434941291234936,1000
"DKW",0.448768703889889,1000
"DKW",0.511091390586785,1000
"DKW",0.56458802422578,1000
"DKW",0.518118347767969,1000
"DKW",0.761263280266337,1000
"DKW",0.49022379519503,1000
"DKW",0.79347703042393,1000
"DKW",0.518794724649082,1000
"DKW",0.731929428860824,1000
"DKW",0.741444965453566,1000
"DKW",0.509935789641299,1000
"DKW",0.724842942095435,1000
"DKW",1,1000
"DKW",0.484094226354154,1000
"DKW",0.491200582047276,1000
"DKW",1,1000
"DKW",0.676392330070457,1000
"DKW",0.662160809987109,1000
"DKW",0.87158341279696,1000
"DKW",0.494884642592134,1000
"DKW",0.6346108557735,1000
"DKW",0.423479681291194,1000
"DKW",0.520047919467174,1000
"DKW",0.467753138915074,1000
"DKW",0.621848243692623,1000
"DKW",0.46684191156871,1000
"DKW",0.460012256035017,1000
"DKW",0.503541177924347,1000
"DKW",0.55556058160722,1000
"DKW",0.555984013119892,1000
"DKW",0.702610137354126,1000
"DKW",0.758062504345154,1000
"DKW",0.448146741475054,1000
"DKW",0.415324754106246,1000
"DKW",0.598342684878314,1000
"DKW",0.52795067550431,1000
"DKW",0.338897264276071,1000
"DKW",0.436558014849765,1000
"DKW",0.621242652524773,1000
