"k_hat","r_hat","m"
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
10,10,10
0,0,10
7,7,10
0,0,10
0,0,10
0,0,10
10,10,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
8,8,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
10,10,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
10,10,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
9,9,10
0,0,10
0,0,10
0,0,10
22,20,100
0,0,100
25,23,100
25,23,100
48,43,100
0,0,100
35,32,100
31,28,100
0,0,100
0,0,100
0,0,100
0,0,100
17,16,100
0,0,100
41,37,100
7,7,100
0,0,100
43,39,100
0,0,100
0,0,100
0,0,100
0,0,100
22,20,100
0,0,100
8,8,100
0,0,100
8,8,100
0,0,100
17,16,100
32,29,100
40,36,100
0,0,100
12,12,100
0,0,100
0,0,100
0,0,100
19,18,100
0,0,100
17,16,100
22,20,100
16,15,100
16,15,100
19,18,100
0,0,100
7,7,100
30,27,100
0,0,100
43,39,100
26,24,100
41,37,100
65,58,100
54,48,100
24,22,100
26,24,100
0,0,100
46,41,100
0,0,100
8,8,100
0,0,100
15,14,100
0,0,100
34,31,100
0,0,100
32,29,100
27,25,100
0,0,100
10,10,100
35,32,100
0,0,100
0,0,100
0,0,100
0,0,100
0,0,100
0,0,100
33,30,100
30,27,100
46,41,100
16,15,100
30,27,100
0,0,100
0,0,100
41,37,100
0,0,100
0,0,100
0,0,100
7,7,100
24,22,100
38,34,100
0,0,100
0,0,100
15,14,100
10,10,100
46,41,100
22,20,100
0,0,100
0,0,100
10,10,100
9,9,100
32,29,100
47,42,100
232,203,1000
233,204,1000
93,82,1000
88,78,1000
241,211,1000
145,127,1000
237,207,1000
223,195,1000
137,120,1000
117,103,1000
116,102,1000
55,49,1000
