"k_hat","m"
2,10
0,10
4,10
3,10
0,10
0,10
4,10
4,10
2,10
1,10
1,10
0,10
4,10
6,10
5,10
3,10
2,10
1,10
3,10
2,10
6,10
1,10
1,10
0,10
4,10
6,10
7,10
3,10
4,10
0,10
8,10
5,10
1,10
7,10
1,10
4,10
0,10
0,10
3,10
5,10
4,10
1,10
3,10
4,10
8,10
1,10
8,10
3,10
1,10
1,10
1,10
4,10
5,10
2,10
0,10
0,10
4,10
0,10
2,10
2,10
2,10
2,10
2,10
3,10
8,10
6,10
4,10
4,10
3,10
3,10
2,10
3,10
0,10
3,10
5,10
6,10
1,10
3,10
5,10
2,10
2,10
5,10
0,10
5,10
1,10
3,10
2,10
5,10
2,10
2,10
1,10
0,10
4,10
2,10
3,10
2,10
2,10
5,10
4,10
5,10
6,10
2,10
5,10
1,10
4,10
1,10
7,10
0,10
3,10
0,10
5,10
1,10
2,10
4,10
7,10
7,10
2,10
5,10
2,10
3,10
9,10
4,10
3,10
3,10
2,10
0,10
6,10
2,10
2,10
4,10
6,10
1,10
6,10
2,10
6,10
6,10
6,10
5,10
5,10
1,10
4,10
6,10
3,10
4,10
0,10
2,10
2,10
5,10
5,10
0,10
3,10
2,10
1,10
2,10
4,10
0,10
3,10
7,10
4,10
5,10
1,10
6,10
1,10
3,10
3,10
3,10
2,10
0,10
5,10
4,10
4,10
3,10
5,10
1,10
2,10
6,10
0,10
1,10
4,10
3,10
4,10
4,10
5,10
1,10
7,10
4,10
2,10
1,10
6,10
2,10
4,10
5,10
2,10
4,10
4,10
7,10
2,10
3,10
4,10
6,10
0,10
3,10
2,10
35,100
17,100
32,100
19,100
34,100
16,100
25,100
16,100
21,100
16,100
16,100
32,100
31,100
33,100
20,100
14,100
38,100
37,100
26,100
9,100
35,100
20,100
13,100
22,100
20,100
28,100
29,100
18,100
10,100
30,100
31,100
22,100
25,100
27,100
21,100
21,100
35,100
28,100
29,100
30,100
27,100
24,100
31,100
16,100
33,100
27,100
21,100
33,100
30,100
22,100
37,100
40,100
14,100
17,100
30,100
39,100
30,100
17,100
26,100
20,100
16,100
24,100
26,100
24,100
25,100
27,100
36,100
15,100
31,100
33,100
43,100
24,100
30,100
23,100
24,100
28,100
17,100
16,100
18,100
18,100
27,100
32,100
16,100
34,100
15,100
23,100
17,100
20,100
35,100
17,100
35,100
31,100
24,100
19,100
22,100
15,100
18,100
17,100
16,100
1,100
26,100
19,100
21,100
25,100
10,100
27,100
23,100
27,100
36,100
36,100
7,100
19,100
17,100
13,100
19,100
23,100
23,100
31,100
14,100
18,100
45,100
23,100
39,100
37,100
33,100
12,100
12,100
25,100
17,100
29,100
21,100
15,100
25,100
29,100
31,100
24,100
27,100
6,100
33,100
23,100
21,100
27,100
25,100
25,100
30,100
23,100
24,100
22,100
26,100
20,100
30,100
24,100
28,100
35,100
23,100
31,100
15,100
17,100
23,100
22,100
21,100
32,100
40,100
34,100
21,100
15,100
29,100
30,100
25,100
25,100
11,100
21,100
19,100
12,100
18,100
2,100
27,100
15,100
29,100
29,100
25,100
31,100
23,100
27,100
29,100
20,100
