"k_hat","r_hat","m"
0,0,10
0,0,10
10,10,10
8,8,10
0,0,10
0,0,10
7,7,10
8,8,10
0,0,10
5,5,10
0,0,10
0,0,10
6,6,10
10,10,10
0,0,10
0,0,10
0,0,10
0,0,10
9,9,10
0,0,10
5,5,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
7,7,10
0,0,10
0,0,10
5,5,10
0,0,10
0,0,10
5,5,10
0,0,10
0,0,10
0,0,10
0,0,10
5,5,10
0,0,10
10,10,10
5,5,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
6,6,10
0,0,10
5,5,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
8,8,10
10,10,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
6,6,10
10,10,10
6,6,10
0,0,10
5,5,10
0,0,10
0,0,10
0,0,10
7,7,10
8,8,10
0,0,10
0,0,10
5,5,10
0,0,10
0,0,10
9,9,10
0,0,10
0,0,10
0,0,10
5,5,10
0,0,10
0,0,10
0,0,10
0,0,10
10,10,10
5,5,10
11,10,100
30,26,100
30,26,100
36,31,100
47,40,100
36,31,100
59,50,100
43,37,100
61,52,100
53,45,100
41,35,100
0,0,100
26,23,100
7,7,100
18,16,100
39,34,100
25,22,100
48,41,100
27,24,100
13,12,100
66,56,100
0,0,100
0,0,100
29,25,100
26,23,100
19,17,100
50,43,100
12,11,100
41,35,100
0,0,100
26,23,100
61,52,100
11,10,100
14,13,100
41,35,100
12,11,100
13,12,100
42,36,100
29,25,100
48,41,100
43,37,100
49,42,100
61,52,100
0,0,100
33,29,100
7,7,100
0,0,100
0,0,100
33,29,100
35,30,100
91,77,100
0,0,100
12,11,100
0,0,100
38,33,100
30,26,100
20,18,100
43,37,100
69,59,100
42,36,100
19,17,100
44,38,100
35,30,100
0,0,100
41,35,100
71,60,100
23,20,100
19,17,100
17,15,100
26,23,100
48,41,100
45,39,100
54,46,100
0,0,100
77,65,100
49,42,100
0,0,100
44,38,100
6,6,100
25,22,100
55,47,100
25,22,100
100,86,100
0,0,100
21,19,100
33,29,100
25,22,100
41,35,100
35,30,100
49,42,100
0,0,100
0,0,100
0,0,100
41,35,100
0,0,100
54,46,100
19,17,100
30,26,100
42,36,100
0,0,100
354,296,1000
359,300,1000
59,50,1000
419,350,1000
485,405,1000
5,5,1000
342,286,1000
355,297,1000
476,398,1000
245,205,1000
408,341,1000
385,322,1000
