"k_hat","m"
0,10
1,10
1,10
6,10
3,10
3,10
1,10
0,10
0,10
1,10
3,10
5,10
2,10
2,10
1,10
2,10
2,10
3,10
5,10
2,10
1,10
1,10
0,10
0,10
3,10
2,10
2,10
1,10
2,10
2,10
3,10
1,10
3,10
2,10
3,10
2,10
4,10
0,10
2,10
1,10
0,10
0,10
5,10
4,10
5,10
2,10
1,10
4,10
2,10
0,10
5,10
4,10
2,10
3,10
0,10
0,10
1,10
0,10
0,10
5,10
1,10
0,10
0,10
3,10
3,10
1,10
4,10
4,10
5,10
0,10
4,10
0,10
2,10
0,10
0,10
2,10
0,10
5,10
1,10
0,10
2,10
5,10
4,10
0,10
3,10
0,10
1,10
0,10
0,10
2,10
3,10
4,10
3,10
4,10
1,10
0,10
3,10
7,10
0,10
2,10
19,100
14,100
12,100
24,100
23,100
0,100
7,100
5,100
13,100
10,100
18,100
3,100
8,100
10,100
10,100
11,100
13,100
11,100
0,100
9,100
25,100
10,100
3,100
23,100
10,100
28,100
11,100
17,100
12,100
9,100
11,100
30,100
14,100
10,100
5,100
17,100
2,100
10,100
11,100
16,100
15,100
25,100
18,100
13,100
8,100
16,100
15,100
8,100
13,100
24,100
15,100
12,100
13,100
27,100
13,100
17,100
25,100
14,100
20,100
8,100
10,100
11,100
3,100
19,100
12,100
12,100
12,100
12,100
15,100
12,100
13,100
15,100
3,100
5,100
10,100
17,100
23,100
13,100
4,100
9,100
0,100
14,100
3,100
2,100
23,100
13,100
7,100
9,100
13,100
19,100
5,100
8,100
9,100
14,100
12,100
12,100
13,100
21,100
19,100
15,100
96,1000
106,1000
142,1000
81,1000
127,1000
106,1000
88,1000
144,1000
128,1000
118,1000
120,1000
117,1000
145,1000
119,1000
111,1000
111,1000
158,1000
148,1000
117,1000
136,1000
104,1000
114,1000
116,1000
110,1000
125,1000
87,1000
141,1000
115,1000
100,1000
118,1000
103,1000
145,1000
96,1000
115,1000
134,1000
93,1000
68,1000
152,1000
139,1000
113,1000
120,1000
86,1000
92,1000
115,1000
110,1000
118,1000
94,1000
125,1000
85,1000
101,1000
96,1000
144,1000
104,1000
107,1000
121,1000
71,1000
133,1000
131,1000
123,1000
97,1000
122,1000
81,1000
129,1000
74,1000
111,1000
128,1000
134,1000
86,1000
147,1000
103,1000
130,1000
134,1000
152,1000
133,1000
139,1000
138,1000
120,1000
105,1000
144,1000
139,1000
113,1000
104,1000
115,1000
106,1000
155,1000
110,1000
120,1000
109,1000
151,1000
75,1000
