"k_hat","m"
4,10
3,10
4,10
0,10
4,10
1,10
3,10
0,10
2,10
5,10
0,10
2,10
6,10
1,10
3,10
0,10
2,10
5,10
2,10
1,10
1,10
2,10
1,10
0,10
0,10
2,10
2,10
2,10
2,10
0,10
4,10
4,10
2,10
5,10
3,10
1,10
3,10
7,10
4,10
1,10
0,10
1,10
1,10
4,10
4,10
2,10
4,10
3,10
3,10
3,10
3,10
4,10
4,10
6,10
1,10
3,10
0,10
1,10
1,10
3,10
1,10
3,10
1,10
2,10
2,10
2,10
2,10
8,10
3,10
2,10
2,10
0,10
1,10
0,10
5,10
1,10
0,10
0,10
3,10
4,10
0,10
4,10
4,10
3,10
4,10
7,10
4,10
3,10
1,10
3,10
5,10
0,10
0,10
5,10
2,10
3,10
2,10
5,10
0,10
5,10
8,100
18,100
23,100
12,100
21,100
27,100
14,100
22,100
18,100
10,100
13,100
18,100
32,100
9,100
27,100
21,100
26,100
17,100
25,100
28,100
14,100
25,100
21,100
5,100
13,100
24,100
24,100
20,100
15,100
33,100
13,100
22,100
11,100
19,100
18,100
20,100
13,100
23,100
19,100
26,100
33,100
7,100
33,100
18,100
12,100
12,100
11,100
18,100
27,100
9,100
15,100
29,100
30,100
17,100
15,100
24,100
27,100
24,100
22,100
22,100
20,100
6,100
15,100
23,100
20,100
23,100
40,100
25,100
26,100
28,100
18,100
17,100
23,100
15,100
20,100
13,100
8,100
24,100
30,100
17,100
24,100
15,100
20,100
14,100
11,100
30,100
28,100
24,100
21,100
27,100
32,100
4,100
4,100
11,100
12,100
24,100
5,100
11,100
20,100
22,100
124,1000
229,1000
180,1000
222,1000
151,1000
155,1000
141,1000
195,1000
204,1000
196,1000
190,1000
141,1000
186,1000
196,1000
147,1000
228,1000
125,1000
232,1000
183,1000
234,1000
201,1000
207,1000
219,1000
225,1000
169,1000
159,1000
179,1000
217,1000
194,1000
160,1000
176,1000
133,1000
203,1000
162,1000
194,1000
168,1000
145,1000
227,1000
203,1000
191,1000
163,1000
149,1000
170,1000
170,1000
157,1000
232,1000
192,1000
178,1000
186,1000
219,1000
222,1000
200,1000
220,1000
207,1000
204,1000
150,1000
180,1000
211,1000
148,1000
154,1000
196,1000
186,1000
134,1000
207,1000
185,1000
172,1000
167,1000
246,1000
181,1000
203,1000
176,1000
152,1000
212,1000
168,1000
208,1000
165,1000
175,1000
166,1000
113,1000
201,1000
172,1000
192,1000
162,1000
169,1000
228,1000
198,1000
147,1000
151,1000
202,1000
179,1000
199,1000
119,1000
228,1000
195,1000
156,1000
184,1000
197,1000
164,1000
195,1000
190,1000
1921,10000
1756,10000
1784,10000
1867,10000
1837,10000
1810,10000
1857,10000
1877,10000
1795,10000
1871,10000
1754,10000
1812,10000
1910,10000
1826,10000
1747,10000
1746,10000
1799,10000
1793,10000
1771,10000
1766,10000
1752,10000
1835,10000
1830,10000
1801,10000
1858,10000
1866,10000
2018,10000
1806,10000
1699,10000
1858,10000
1783,10000
1829,10000
1860,10000
1942,10000
1815,10000
1886,10000
1886,10000
1767,10000
1841,10000
1792,10000
1781,10000
1740,10000
1824,10000
1644,10000
1803,10000
1744,10000
1941,10000
1931,10000
1646,10000
1739,10000
1767,10000
1881,10000
1760,10000
1824,10000
1897,10000
1800,10000
1913,10000
1776,10000
1729,10000
1840,10000
1926,10000
1708,10000
1957,10000
1843,10000
1717,10000
1865,10000
1838,10000
1744,10000
1825,10000
1892,10000
2025,10000
1794,10000
1753,10000
1825,10000
1836,10000
1847,10000
1847,10000
1769,10000
1874,10000
1870,10000
1860,10000
1764,10000
1783,10000
1819,10000
1698,10000
1788,10000
1907,10000
1790,10000
1784,10000
1805,10000
1803,10000
1844,10000
1731,10000
1920,10000
1852,10000
1832,10000
1899,10000
1832,10000
1700,10000
1838,10000
4,10
3,10
4,10
0,10
4,10
1,10
3,10
0,10
2,10
5,10
0,10
2,10
6,10
1,10
3,10
0,10
2,10
5,10
2,10
1,10
1,10
2,10
1,10
0,10
0,10
2,10
2,10
2,10
2,10
0,10
4,10
4,10
2,10
5,10
3,10
1,10
3,10
7,10
4,10
1,10
0,10
1,10
1,10
4,10
4,10
2,10
4,10
3,10
