"k_hat","r_hat","m"
10,1,10
10,2,10
10,2,10
10,2,10
10,1,10
10,1,10
10,2,10
10,0,10
8,1,10
10,2,10
10,2,10
10,2,10
10,1,10
10,2,10
10,2,10
10,0,10
10,1,10
9,1,10
10,0,10
10,2,10
8,0,10
10,2,10
9,1,10
10,3,10
9,0,10
8,0,10
10,2,10
10,1,10
9,0,10
10,0,10
10,0,10
10,0,10
8,0,10
9,0,10
8,0,10
10,1,10
10,2,10
10,2,10
10,0,10
10,1,10
10,0,10
10,0,10
7,0,10
10,1,10
10,0,10
9,1,10
10,2,10
10,0,10
10,1,10
10,2,10
10,0,10
7,1,10
10,1,10
10,2,10
10,1,10
7,1,10
10,1,10
10,1,10
10,1,10
10,3,10
10,1,10
10,4,10
10,1,10
8,0,10
9,1,10
10,0,10
10,1,10
9,1,10
10,3,10
9,1,10
10,0,10
10,2,10
10,3,10
10,2,10
10,0,10
10,3,10
10,0,10
10,2,10
10,1,10
10,1,10
10,2,10
10,1,10
10,2,10
10,1,10
10,1,10
10,2,10
7,1,10
7,0,10
9,0,10
10,2,10
10,0,10
10,2,10
10,1,10
10,0,10
10,1,10
10,1,10
10,1,10
10,1,10
8,1,10
10,0,10
100,9,100
100,13,100
100,9,100
84,7,100
100,18,100
100,12,100
100,15,100
100,8,100
100,10,100
100,12,100
100,8,100
100,13,100
100,8,100
100,11,100
100,11,100
100,14,100
100,11,100
100,16,100
100,13,100
100,9,100
100,10,100
100,13,100
100,11,100
100,15,100
100,11,100
100,7,100
100,14,100
100,12,100
100,14,100
100,12,100
100,12,100
100,16,100
100,15,100
100,10,100
100,13,100
100,12,100
98,7,100
100,11,100
100,11,100
100,9,100
100,13,100
100,9,100
100,10,100
100,12,100
100,9,100
100,12,100
100,16,100
100,15,100
100,13,100
100,16,100
97,7,100
100,18,100
100,9,100
100,9,100
100,17,100
100,10,100
100,14,100
100,10,100
100,13,100
100,11,100
100,9,100
100,8,100
100,20,100
100,10,100
100,12,100
100,10,100
100,16,100
100,11,100
100,11,100
89,6,100
100,13,100
100,18,100
100,8,100
100,15,100
100,8,100
100,18,100
100,12,100
100,11,100
100,10,100
100,11,100
100,13,100
100,12,100
100,13,100
100,9,100
100,14,100
100,11,100
100,15,100
49,4,100
100,16,100
100,12,100
79,6,100
100,10,100
100,18,100
100,11,100
100,11,100
100,15,100
100,13,100
100,13,100
100,10,100
100,9,100
1000,114,1000
1000,114,1000
1000,96,1000
1000,107,1000
1000,119,1000
1000,111,1000
1000,115,1000
1000,111,1000
1000,107,1000
1000,93,1000
1000,86,1000
1000,115,1000
1000,111,1000
1000,111,1000
1000,105,1000
1000,127,1000
1000,123,1000
1000,83,1000
1000,122,1000
1000,105,1000
1000,91,1000
1000,104,1000
1000,113,1000
1000,114,1000
1000,98,1000
1000,114,1000
1000,112,1000
1000,87,1000
1000,96,1000
1000,133,1000
1000,108,1000
1000,110,1000
1000,130,1000
1000,101,1000
1000,90,1000
1000,113,1000
1000,112,1000
1000,116,1000
1000,105,1000
1000,117,1000
1000,103,1000
1000,106,1000
1000,125,1000
1000,115,1000
1000,105,1000
1000,109,1000
1000,109,1000
1000,112,1000
1000,103,1000
1000,109,1000
1000,90,1000
1000,119,1000
1000,96,1000
1000,127,1000
1000,94,1000
1000,133,1000
1000,103,1000
1000,121,1000
1000,96,1000
1000,108,1000
1000,110,1000
1000,115,1000
1000,120,1000
1000,111,1000
1000,111,1000
1000,110,1000
1000,107,1000
1000,102,1000
1000,88,1000
1000,88,1000
1000,110,1000
1000,92,1000
1000,115,1000
1000,109,1000
1000,105,1000
1000,103,1000
1000,100,1000
1000,111,1000
1000,121,1000
1000,104,1000
1000,108,1000
1000,135,1000
1000,109,1000
1000,99,1000
1000,100,1000
1000,104,1000
1000,118,1000
1000,119,1000
1000,103,1000
1000,115,1000
1000,110,1000
1000,112,1000
1000,124,1000
1000,90,1000
1000,101,1000
1000,96,1000
1000,123,1000
1000,130,1000
1000,106,1000
1000,121,1000
10000,1106,10000
10000,1101,10000
10000,1046,10000
10000,1060,10000
10000,1111,10000
10000,1067,10000
10000,1102,10000
10000,1083,10000
10000,1097,10000
10000,1150,10000
10000,1124,10000
10000,1104,10000
10000,1106,10000
10000,1046,10000
10000,1093,10000
10000,1119,10000
10000,1100,10000
10000,1088,10000
10000,1085,10000
10000,1080,10000
10000,1113,10000
10000,1079,10000
10000,1133,10000
10000,1135,10000
10000,1075,10000
10000,1034,10000
10000,1100,10000
10000,1104,10000
10000,1093,10000
10000,1129,10000
10000,1095,10000
10000,1075,10000
10000,1133,10000
10000,1069,10000
10000,1081,10000
10000,1145,10000
10000,1097,10000
10000,1122,10000
10000,1127,10000
10000,1115,10000
10000,1056,10000
10000,1107,10000
10000,1095,10000
10000,1073,10000
10000,1116,10000
10000,1127,10000
10000,1133,10000
10000,1075,10000
10000,1127,10000
10000,1109,10000
10000,1133,10000
10000,1055,10000
10000,1143,10000
10000,1121,10000
10000,1095,10000
10000,1093,10000
10000,1100,10000
10000,1115,10000
10000,1124,10000
10000,1055,10000
10000,1094,10000
10000,1051,10000
10000,1068,10000
10000,1097,10000
10000,1034,10000
10000,1079,10000
10000,1075,10000
10000,1071,10000
10000,1071,10000
10000,1116,10000
10000,1062,10000
10000,1107,10000
10000,1051,10000
10000,1092,10000
10000,1115,10000
10000,1121,10000
10000,1108,10000
10000,1099,10000
10000,1036,10000
10000,1078,10000
10000,1084,10000
10000,1130,10000
10000,1059,10000
10000,1098,10000
10000,1070,10000
10000,1073,10000
10000,1114,10000
10000,1141,10000
10000,1131,10000
10000,1084,10000
10000,1111,10000
10000,1080,10000
10000,1069,10000
10000,1127,10000
10000,1037,10000
10000,1105,10000
10000,1032,10000
10000,1094,10000
10000,1118,10000
10000,1134,10000
10,1,10
10,2,10
10,2,10
10,2,10
10,1,10
10,1,10
10,2,10
10,0,10
8,1,10
10,2,10
10,2,10
10,2,10
10,1,10
10,2,10
10,2,10
10,0,10
10,1,10
9,1,10
10,0,10
10,2,10
8,0,10
10,2,10
9,1,10
10,3,10
9,0,10
8,0,10
10,2,10
10,1,10
9,0,10
10,0,10
10,0,10
10,0,10
8,0,10
9,0,10
8,0,10
10,1,10
10,2,10
10,2,10
10,0,10
10,1,10
10,0,10
10,0,10
7,0,10
10,1,10
10,0,10
9,1,10
10,2,10
10,0,10
10,1,10
10,2,10
10,0,10
7,1,10
10,1,10
10,2,10
10,1,10
7,1,10
10,1,10
10,1,10
10,1,10
10,3,10
10,1,10
10,4,10
10,1,10
8,0,10
9,1,10
10,0,10
10,1,10
9,1,10
10,3,10
9,1,10
10,0,10
10,2,10
10,3,10
10,2,10
10,0,10
10,3,10
10,0,10
10,2,10
10,1,10
10,1,10
10,2,10
10,1,10
10,2,10
10,1,10
10,1,10
10,2,10
7,1,10
7,0,10
9,0,10
10,2,10
10,0,10
10,2,10
10,1,10
10,0,10
10,1,10
10,1,10
10,1,10
10,1,10
8,1,10
10,0,10
100,9,100
100,13,100
100,9,100
84,7,100
100,18,100
100,12,100
100,15,100
100,8,100
100,10,100
100,12,100
100,8,100
100,13,100
100,8,100
100,11,100
100,11,100
100,14,100
100,11,100
100,16,100
100,13,100
100,9,100
100,10,100
100,13,100
100,11,100
100,15,100
100,11,100
100,7,100
100,14,100
100,12,100
