"KR","KR_U","Freedman"
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0.822550729475815,0.917928611151338,1
0.561991264311213,1,1
0.578525359919024,1,1
0.58506429497691,1,1
0.441628403378273,0.88946663161414,0.869511995189386
0.361798229696825,0.993157608814428,0.7244494807891
0.310154725965775,0.609638081858016,0.630618829450344
0.273944397017803,0.531120174393712,0.563757727426096
0.247154669085462,0.47262138506619,0.513227921398932
0.226546195902697,0.427363703371616,0.473466001440039
0.210213110986664,0.391320281726915,0.441231128141917
0.196959545473186,0.361946532207896,0.414489892468509
0.202905703150218,0.368242049087973,0.427521219810222
0.188610533488941,0.340322411749268,0.39746702860597
0.178365776306444,0.318658021217539,0.37578131583024
0.170020003785065,0.300549575748305,0.357848592249243
0.162970330697898,0.285049690755188,0.342443380989064
0.167362728916597,0.289700158945202,0.350884751572859
0.169503661717794,0.29196687962789,0.354925069378113
0.160248856274438,0.275136804556979,0.335245768089551
0.163431651663312,0.278506601186134,0.341123605323711
0.16495020223218,0.280114372331607,0.343893859159565
0.156223887224732,0.264671075549076,0.32543505416497
0.150192503362353,0.325261485938772,0.312107943604214
0.145277990372035,0.242632755907292,0.300967827523406
0.141074784761338,0.233741639337323,0.291243276521611
0.137395826233175,0.225828519607968,0.28257552021429
0.13413018221676,0.218718271678055,0.274750820872397
0.137166590052781,0.221933079933192,0.279788784368121
0.132632596461055,0.213797591234697,0.26997047648357
0.129481275066016,0.207403937431762,0.262582780805463
0.126826186455758,0.201780246393074,0.256133538993453
0.124480372398479,0.196700355258552,0.255706003235194
0.122366728339486,0.192058589922821,0.256826279278428
0.124902405929873,0.194743248140745,0.266993184138854
0.121668903467185,0.234057260672056,0.262189507241053
0.119484575833132,0.18469659287267,0.26065374435416
0.117644891567538,0.180809091970558,0.259647727691896
0.116008390537483,0.129460004097054,0.258708376875273
0.114520496812857,0.173985369792189,0.257714538325949
0.113152192852394,0.170938601246247,0.256635129290216
0.111884897138015,0.168092779771684,0.255468638591297
0.113961325208343,0.170291205827138,0.261701012902047
0.111738458683827,0.166519616857192,0.257256220272719
0.110297966391445,0.163655154038503,0.25490001088829
0.109091875050262,0.161111260661098,0.253002073744152
0.110933838766181,0.163061446696502,0.258059574216521
0.108926557403355,0.15973597139271,0.253729267231728
0.107643825713073,0.157239167511371,0.251236719874687
0.106577972418031,0.155028919792619,0.249192118091233
0.10562961943532,0.152995845315423,0.247334166784569
0.104762380064118,0.151097650284226,0.245576117880012
0.103958187996992,0.149311788315968,0.243881050262589
0.105606401658768,0.151056840750377,0.247864272301931
0.10645588520248,0.15195623465805,0.249890355371184
0.107047438739052,0.152582544197292,0.251290892309157
0.10506363409276,0.149590236622072,0.246637384925355
0.106225291753463,0.150820146054187,0.249351096726451
0.104427713483563,0.174179862500241,0.24511389604186
0.103308357240367,0.146064277694093,0.242428074408979
0.102405135898908,0.144327431996594,0.240207803531037
0.101618448932583,0.142746490704112,0.23822003053462
0.103011783021145,0.144221688428521,0.241300681529177
0.10159310521992,0.142002156434106,0.237873173761762
0.100719641354943,0.140388571812958,0.235631005779554
0.100003692327,0.138968768441822,0.233714439876945
0.0993699130292009,0.137661416030103,0.231957371173465
0.0987910214704846,0.136436188905629,0.230301048755752
0.100107534908185,0.137830052476033,0.233033323705257
0.0989146561660098,0.135977442752242,0.230078243202246
0.100019357199412,0.137147049140261,0.232335227489389
0.0987599550374558,0.135245449125779,0.229245522303324
0.0980093055439729,0.13390278589121,0.227194018450705
0.0974070181260843,0.132736426485135,0.225441044835732
0.0985797852748018,0.133978098129611,0.22776369953857
0.0974628405136164,0.132285073847717,0.224982864612416
0.0984687854544616,0.133350121850057,0.226949313801428
0.0989826954693605,0.133894226017717,0.22794811875259
0.0976635388472716,0.13200441271756,0.224779089731589
0.0968964610929546,0.130715553377027,0.222692258240709
0.0962984397868306,0.129621313119275,0.2209379824262
0.0973564565676308,0.130741492378675,0.222948375666232
0.0963033366013328,0.129180288340345,0.220329426272531
0.0956793143661597,0.128087558518761,0.218532215550361
0.0951778213611511,0.127138058354675,0.216971906270699
0.0947385604836539,0.126267324922827,0.215533033826001
0.0957909605067574,0.127381557418819,0.217468580073005
0.0948657347833138,0.126008599730584,0.215135953503394
0.0957588734338867,0.126954213647391,0.216761519750979
0.0947807430659604,0.125536985398859,0.214343533179405
0.0942152126399659,0.124567823279152,0.212685452659778
0.0937682810627812,0.123734964504769,0.211249903180204
0.0933804559263384,0.12297496113416,0.209927633500972
0.0930299532579621,0.122264315096867,0.208678570697076
0.0927062798016502,0.136130960860133,0.20748342137074
0.0936868686871175,0.137105459711742,0.20919698590579
0.0941923916197663,0.13760784304958,0.210076152557327
0.0945453890847848,0.137958648192672,0.210688384028569
0.0935218276761409,0.136338697927261,0.20827233347425
0.0929505548324865,0.12121666383548,0.206652895797594
0.0925164307034508,0.120452967767157,0.205280402619669
0.0921501078950259,0.119769058326803,0.204033191840514
0.091825351683805,0.119136847646532,0.202865065940141
0.0915294468521697,0.118542577673688,0.201753572050028
0.091255246420375,0.117978400724075,0.200686061605582
0.090998307405226,0.117439346019668,0.199654655858963
0.0907556562265362,0.116922011691401,0.198654071103229
0.0905251866390099,0.116423926534045,0.197680556130731
0.0903053381257317,0.115943208758934,0.196731323773278
0.0911803924223229,0.116869675797717,0.198163311723219
0.0905480403911787,0.115958121993318,0.196542866191006
0.0902084839114624,0.11536226184759,0.195409496143817
0.0899432838825975,0.114850623466467,0.194404844577921
0.0897119662765111,0.114380165282342,0.193462262313138
0.0905296193353126,0.115245858543995,0.194772488090569
0.0899224827482657,0.11438262672724,0.193232389017767
0.0895980108739174,0.113823620582535,0.192153035281181
0.0893465250285861,0.113346676900891,0.191197589009447
0.0891286295911362,0.112909927566043,0.19030250585976
0.0899080744318615,0.113735167732619,0.191527710532308
0.0893325762672683,0.112924284546069,0.190075367338471
0.0890274278781478,0.112403970093425,0.189055463533341
