"k_hat","m"
2,10
4,10
2,10
1,10
5,10
0,10
2,10
0,10
5,10
2,10
1,10
2,10
0,10
1,10
1,10
2,10
1,10
2,10
3,10
0,10
0,10
3,10
1,10
3,10
0,10
2,10
4,10
1,10
1,10
3,10
2,10
2,10
2,10
2,10
0,10
2,10
4,10
5,10
3,10
4,10
0,10
3,10
2,10
0,10
1,10
3,10
2,10
1,10
3,10
5,10
8,10
2,10
1,10
0,10
0,10
1,10
1,10
1,10
2,10
3,10
4,10
3,10
3,10
2,10
1,10
3,10
5,10
1,10
2,10
4,10
0,10
2,10
2,10
2,10
0,10
3,10
1,10
2,10
3,10
1,10
0,10
4,10
1,10
1,10
3,10
0,10
2,10
0,10
2,10
0,10
2,10
2,10
1,10
1,10
3,10
1,10
3,10
2,10
1,10
1,10
2,10
1,10
3,10
0,10
4,10
0,10
2,10
2,10
2,10
2,10
3,10
0,10
1,10
4,10
1,10
3,10
2,10
4,10
3,10
2,10
5,10
1,10
1,10
1,10
0,10
1,10
5,10
2,10
1,10
3,10
2,10
2,10
1,10
3,10
0,10
2,10
1,10
2,10
3,10
1,10
4,10
1,10
0,10
2,10
1,10
0,10
4,10
1,10
2,10
5,10
2,10
3,10
2,10
0,10
1,10
0,10
0,10
1,10
2,10
1,10
2,10
3,10
1,10
0,10
1,10
1,10
1,10
0,10
0,10
2,10
0,10
0,10
3,10
3,10
3,10
1,10
0,10
1,10
0,10
2,10
2,10
2,10
3,10
3,10
2,10
1,10
3,10
2,10
2,10
5,10
3,10
2,10
4,10
2,10
0,10
5,10
3,10
0,10
2,10
1,10
3,10
0,10
4,10
3,100
5,100
4,100
6,100
5,100
7,100
8,100
7,100
6,100
1,100
5,100
7,100
4,100
7,100
7,100
2,100
4,100
2,100
4,100
9,100
6,100
8,100
0,100
5,100
3,100
1,100
3,100
3,100
4,100
8,100
5,100
2,100
6,100
4,100
2,100
5,100
7,100
4,100
7,100
7,100
2,100
4,100
4,100
5,100
8,100
4,100
14,100
1,100
4,100
2,100
8,100
5,100
1,100
4,100
10,100
6,100
10,100
4,100
8,100
3,100
6,100
10,100
7,100
5,100
6,100
3,100
1,100
1,100
6,100
5,100
4,100
7,100
12,100
5,100
8,100
2,100
3,100
7,100
4,100
3,100
5,100
7,100
2,100
7,100
8,100
14,100
1,100
6,100
4,100
3,100
11,100
8,100
2,100
7,100
2,100
4,100
7,100
3,100
8,100
6,100
8,100
5,100
4,100
5,100
5,100
11,100
4,100
4,100
8,100
4,100
2,100
1,100
5,100
2,100
8,100
6,100
2,100
8,100
6,100
6,100
2,100
2,100
6,100
6,100
4,100
4,100
5,100
5,100
13,100
7,100
4,100
2,100
10,100
5,100
5,100
4,100
8,100
6,100
4,100
2,100
8,100
1,100
3,100
8,100
0,100
10,100
5,100
7,100
6,100
6,100
7,100
5,100
2,100
4,100
4,100
12,100
1,100
3,100
2,100
4,100
4,100
3,100
5,100
6,100
2,100
6,100
5,100
5,100
9,100
3,100
9,100
7,100
6,100
0,100
6,100
9,100
10,100
4,100
5,100
6,100
3,100
4,100
2,100
3,100
8,100
2,100
2,100
5,100
1,100
5,100
6,100
4,100
3,100
8,100
6,100
2,100
3,100
5,100
5,100
1,100
6,100
3,100
2,100
4,100
4,100
1,100
5,100
2,100
9,100
8,100
6,100
1,100
4,100
2,100
4,100
3,100
5,100
4,100
10,100
6,100
6,100
12,100
6,100
3,100
7,100
2,100
8,100
1,100
2,100
7,100
4,100
1,100
4,100
6,100
5,100
2,100
6,100
8,100
7,100
2,100
2,100
11,100
9,100
2,100
6,100
6,100
7,100
5,100
3,100
5,100
4,100
7,100
3,100
7,100
6,100
3,100
4,100
9,100
5,100
1,100
7,100
4,100
13,100
8,100
3,100
3,100
3,100
8,100
10,100
10,100
1,100
5,100
6,100
3,100
5,100
5,100
2,100
9,100
6,100
1,100
6,100
3,100
4,100
3,100
11,100
1,100
9,100
3,100
3,100
6,100
1,100
7,100
6,100
7,100
3,100
5,100
7,100
5,100
6,100
7,100
5,100
11,100
7,100
3,100
10,100
6,100
4,100
3,100
2,100
7,100
3,100
6,100
6,100
3,100
4,100
1,100
2,100
3,100
2,100
2,100
5,100
4,100
5,100
5,100
4,100
6,100
6,100
4,100
10,100
6,100
3,100
5,100
4,100
3,100
5,100
10,100
2,100
2,100
3,100
9,100
7,100
12,100
6,100
7,100
5,100
5,100
5,100
4,100
9,100
1,100
6,100
6,100
9,100
3,100
5,100
7,100
3,100
5,100
7,100
8,100
2,100
3,100
11,100
1,100
5,100
7,100
9,100
6,100
3,100
7,100
7,100
4,100
5,100
6,100
6,100
5,100
3,100
10,100
6,100
11,100
4,100
4,100
10,100
2,100
2,100
5,100
3,100
8,100
6,100
6,100
3,100
2,100
7,100
7,100
9,100
6,100
3,100
4,100
4,100
10,100
3,100
4,100
4,100
8,100
4,100
5,100
5,100
4,100
8,100
6,100
5,100
2,100
7,100
10,100
6,100
7,100
5,100
5,100
4,100
3,100
0,100
6,100
6,100
8,100
4,100
4,100
2,100
9,100
8,100
10,100
11,100
3,100
2,100
5,100
4,100
9,100
12,100
9,100
7,100
7,100
4,100
6,100
6,100
6,100
13,100
8,100
10,100
3,100
1,100
7,100
7,100
5,100
7,100
3,100
2,100
4,100
3,100
9,100
5,100
6,100
2,100
5,100
3,100
13,100
15,100
4,100
4,100
4,100
7,100
6,100
4,100
3,100
5,100
7,100
8,100
5,100
2,100
6,100
1,100
2,100
6,100
3,100
4,100
1,100
4,100
3,100
4,100
3,100
8,100
2,100
3,100
1,100
9,100
5,100
3,100
7,100
3,100
4,100
3,100
5,100
10,100
4,100
6,100
7,100
9,100
4,100
4,100
1,100
2,100
2,100
7,100
3,100
5,100
7,100
7,100
6,100
4,100
8,100
4,100
10,100
3,100
3,100
8,100
5,100
3,100
3,100
7,100
8,100
13,100
9,100
4,100
1,100
3,100
6,100
4,100
5,100
10,100
11,100
5,100
6,100
6,100
5,100
5,100
4,100
6,100
4,100
9,100
5,100
3,100
11,100
1,100
5,100
2,100
7,100
5,100
5,100
3,100
8,100
5,100
2,100
9,100
7,100
5,100
6,100
3,100
4,100
6,100
4,100
3,100
4,100
10,100
4,100
11,100
6,100
7,100
6,100
2,100
6,100
2,100
6,100
7,100
3,100
6,100
8,100
9,100
7,100
2,100
2,100
4,100
6,100
4,100
5,100
7,100
4,100
7,100
6,100
3,100
3,100
10,100
6,100
4,100
6,100
7,100
8,100
4,100
3,100
5,100
5,100
1,100
5,100
10,100
5,100
4,100
7,100
5,100
6,100
5,100
5,100
5,100
10,100
5,100
6,100
2,100
6,100
3,100
4,100
7,100
4,100
10,100
1,100
3,100
4,100
8,100
6,100
4,100
9,100
3,100
7,100
2,100
4,100
4,100
4,100
7,100
6,100
6,100
8,100
1,100
4,100
1,100
4,100
5,100
7,100
3,100
8,100
6,100
1,100
6,100
9,100
5,100
6,100
6,100
1,100
7,100
5,100
5,100
7,100
1,100
10,100
1,100
6,100
8,100
2,100
1,100
5,100
10,100
5,100
7,100
1,100
0,100
5,100
4,100
8,100
6,100
4,100
5,100
4,100
6,100
9,100
7,100
5,100
5,100
8,100
4,100
3,100
6,100
5,100
7,100
1,100
3,100
5,100
3,100
7,100
12,100
3,100
9,100
9,100
0,100
6,100
4,100
5,100
4,100
4,100
6,100
8,100
8,100
3,100
5,100
6,100
7,100
11,100
2,100
11,100
7,100
0,100
12,100
9,100
4,100
3,100
7,100
1,100
2,100
12,100
4,100
8,100
6,100
7,100
4,100
3,100
8,100
9,100
3,100
5,100
9,100
6,100
6,100
8,100
4,100
5,100
12,100
8,100
5,100
5,100
5,100
4,100
5,100
4,100
3,100
5,100
4,100
2,100
4,100
2,100
4,100
3,100
8,100
2,100
3,100
4,100
3,100
10,100
5,100
2,100
2,100
6,100
6,100
4,100
7,100
5,100
4,100
9,100
7,100
2,100
4,100
3,100
7,100
2,100
7,100
3,100
1,100
2,100
3,100
3,100
10,100
4,100
10,100
0,100
10,100
5,100
6,100
1,100
7,100
7,100
3,100
7,100
6,100
8,100
1,100
3,100
5,100
10,100
6,100
7,100
3,100
4,100
5,100
4,100
6,100
6,100
6,100
8,100
3,100
4,100
5,100
7,100
2,100
9,100
3,100
