"bound","FDP_bar","alpha"
"KR",0.628225510360045,0.15
"KR",0.659741819645327,0.15
"KR",0.653068446995422,0.15
"KR",0.573423993213746,0.15
"KR",0.583155250208902,0.15
"KR",0.596990383309578,0.15
"KR",0.638262755449244,0.15
"KR",0.66951864996441,0.15
"KR",0.62559149735445,0.15
"KR",0.504674218093356,0.15
"KR",0.594375223561834,0.2
"KR",0.681979342272833,0.2
"KR",0.60962272219762,0.2
"KR",0.587536111704682,0.2
"KR",0.681292484436092,0.2
"KR",0.738509597331394,0.2
"KR",0.616968388132773,0.2
"KR",0.646557659800509,0.2
"KR",0.708636423585966,0.2
"KR",0.544335586941075,0.2
"KR-U",0.328099241476053,0.15
"KR-U",0.280377283277931,0.15
"KR-U",0.278312512770731,0.15
"KR-U",0.263263514792628,0.15
"KR-U",0.264449756938934,0.15
"KR-U",0.276125320878908,0.15
"KR-U",0.277133499104333,0.15
"KR-U",0.290895299719749,0.15
"KR-U",0.276984003309756,0.15
"KR-U",0.274385237767406,0.15
"KR-U",0.327375290818304,0.2
"KR-U",0.336048777046232,0.2
"KR-U",0.31010668690641,0.2
"KR-U",0.293699092480767,0.2
"KR-U",0.328057106837161,0.2
"KR-U",0.334859176352847,0.2
"KR-U",0.320671362722047,0.2
"KR-U",0.310134011377707,0.2
"KR-U",0.327557661348718,0.2
"KR-U",0.285232155266414,0.2
"KJI-A",0.334710743801653,0.15
"KJI-A",0.314345991561181,0.15
"KJI-A",0.298701298701299,0.15
"KJI-A",0.255274261603376,0.15
"KJI-A",0.255102040816327,0.15
"KJI-A",0.276892430278884,0.15
"KJI-A",0.280334728033473,0.15
"KJI-A",0.293532338308458,0.15
"KJI-A",0.26797385620915,0.15
"KJI-A",0.276264591439689,0.15
"KJI-A",0.324817518248175,0.2
"KJI-A",0.38241308793456,0.2
"KJI-A",0.305609284332689,0.2
"KJI-A",0.288934426229508,0.2
"KJI-A",0.354651162790698,0.2
"KJI-A",0.427722772277228,0.2
"KJI-A",0.315581854043393,0.2
"KJI-A",0.318637274549098,0.2
"KJI-A",0.395918367346939,0.2
"KJI-A",0.276717557251908,0.2
"KJI-B",0.34297520661157,0.15
"KJI-B",0.339662447257384,0.15
"KJI-B",0.324675324675325,0.15
"KJI-B",0.261603375527426,0.15
"KJI-B",0.283673469387755,0.15
"KJI-B",0.286852589641434,0.15
"KJI-B",0.320083682008368,0.15
"KJI-B",0.286069651741294,0.15
"KJI-B",0.28322440087146,0.15
"KJI-B",0.276264591439689,0.15
"KJI-B",0.321167883211679,0.2
"KJI-B",0.388548057259714,0.2
"KJI-B",0.319148936170213,0.2
"KJI-B",0.290983606557377,0.2
"KJI-B",0.403100775193798,0.2
"KJI-B",0.43960396039604,0.2
"KJI-B",0.315581854043393,0.2
"KJI-B",0.328657314629259,0.2
"KJI-B",0.410204081632653,0.2
"KJI-B",0.284351145038168,0.2
"KJI-C",0.31404958677686,0.15
"KJI-C",0.379746835443038,0.15
"KJI-C",0.365800865800866,0.15
"KJI-C",0.320675105485232,0.15
"KJI-C",0.322448979591837,0.15
"KJI-C",0.344621513944223,0.15
"KJI-C",0.378661087866109,0.15
"KJI-C",0.472636815920398,0.15
"KJI-C",0.357298474945534,0.15
"KJI-C",0.291828793774319,0.15
"KJI-C",0.352189781021898,0.2
"KJI-C",0.421267893660532,0.2
"KJI-C",0.386847195357834,0.2
"KJI-C",0.315573770491803,0.2
"KJI-C",0.436046511627907,0.2
"KJI-C",0.510891089108911,0.2
"KJI-C",0.386587771203156,0.2
"KJI-C",0.38877755511022,0.2
"KJI-C",0.444897959183673,0.2
"KJI-C",0.297709923664122,0.2
"KJI-D",0.309917355371901,0.15
"KJI-D",0.310126582278481,0.15
"KJI-D",0.305194805194805,0.15
"KJI-D",0.240506329113924,0.15
"KJI-D",0.255102040816327,0.15
"KJI-D",0.262948207171315,0.15
"KJI-D",0.271966527196653,0.15
"KJI-D",0.278606965174129,0.15
"KJI-D",0.257080610021787,0.15
"KJI-D",0.266536964980545,0.15
"KJI-D",0.313868613138686,0.2
"KJI-D",0.370143149284254,0.2
"KJI-D",0.292069632495164,0.2
"KJI-D",0.274590163934426,0.2
"KJI-D",0.354651162790698,0.2
"KJI-D",0.413861386138614,0.2
"KJI-D",0.301775147928994,0.2
"KJI-D",0.304609218436874,0.2
"KJI-D",0.381632653061225,0.2
"KJI-D",0.270992366412214,0.2
