"bound","pi_hat","m"
"DKW",0.994299506359985,10
"DKW",0.658164622643968,10
"DKW",0.713187509395847,10
"DKW",0.170454107665666,10
"DKW",1,10
"DKW",0.980170898473901,10
"DKW",0.677004817610658,10
"DKW",0.237281177919235,10
"DKW",0.76072873783793,10
"DKW",0.610742355146857,10
"DKW",0.190447755468011,10
"DKW",0.985436182173451,10
"DKW",0.988580912884193,10
"DKW",0.879609400546471,10
"DKW",0.603606705682467,10
"DKW",0.902863418799231,10
"DKW",0.710903436951305,10
"DKW",1,10
"DKW",1,10
"DKW",0.268049338485547,10
"DKW",0.806067102474995,10
"DKW",1,10
"DKW",1,10
"DKW",0.724942341024924,10
"DKW",0.811592760403384,10
"DKW",0.705357759089687,10
"DKW",0.919205044672376,10
"DKW",1,10
"DKW",0.782176954783905,10
"DKW",0.852186547112341,10
"DKW",0.781226054540571,10
"DKW",0.960804404575994,10
"DKW",0.846405386993483,10
"DKW",0.48059896233332,10
"DKW",0.643275593129085,10
"DKW",0.539798383616602,10
"DKW",0.534656685321104,10
"DKW",0.746168572325675,10
"DKW",0.737331273358264,10
"DKW",0.678908925574101,10
"DKW",1,10
"DKW",0.835258740773907,10
"DKW",0.630586364570026,10
"DKW",0.855509194977433,10
"DKW",0.684551935590812,10
"DKW",0.770556941461499,10
"DKW",0.532334415444202,10
"DKW",0.414347587380282,10
"DKW",0.613932016122735,10
"DKW",1,10
"DKW",0.835536981118477,10
"DKW",0.70102377122514,10
"DKW",0.743608622500828,10
"DKW",0.580608827007685,10
"DKW",1,10
"DKW",0.51366797785907,10
"DKW",0.426680344886547,10
"DKW",0.61698037219079,10
"DKW",1,10
"DKW",0.485709522607736,10
"DKW",0.228402938769999,10
"DKW",0.359480752939703,10
"DKW",0.507773736993292,10
"DKW",0.371364718988207,10
"DKW",0.946714169696358,10
"DKW",0.846456111695152,10
"DKW",0.990468998043094,10
"DKW",0.72513932363957,10
"DKW",0.335439607552934,10
"DKW",0.655143401175535,10
"DKW",0.971335415746352,10
"DKW",0.533313082102797,10
"DKW",0.884286886214227,10
"DKW",0.717236207580003,10
"DKW",0.940526857287907,10
"DKW",0.696622778158667,10
"DKW",0.632685006142065,10
"DKW",0.777380662774554,10
"DKW",0.507699862782689,10
"DKW",0.578627223089082,10
"DKW",0.993763747014138,10
"DKW",0.504882487162831,10
"DKW",0.384630084933141,10
"DKW",1,10
"DKW",0.614729202432119,10
"DKW",0.508688701108826,10
"DKW",0.599657015529822,10
"DKW",1,10
"DKW",0.58742247231249,10
"DKW",0.876595448967729,10
"DKW",1,10
"DKW",0.643220017141682,10
"DKW",0.580257666124775,10
"DKW",0.582934845367454,10
"DKW",0.348836216220225,10
"DKW",0.324009457503345,10
"DKW",0.950277831269988,10
"DKW",1,10
"DKW",0.857020186719841,10
"DKW",1,10
"DKW",1,10
"DKW",0.87452288200555,10
"DKW",0.43015289806096,10
"DKW",0.453306049593239,10
"DKW",0.290650418377663,10
"DKW",0.755177508704131,10
"DKW",1,10
"DKW",1,10
"DKW",0.326181998151916,10
"DKW",0.600412528375993,10
"DKW",0.379128248451709,10
"DKW",0.529536317713522,10
"DKW",0.64316925451959,10
"DKW",0.792787913480137,10
"DKW",0.73070281153429,10
"DKW",1,10
"DKW",0.500378029996497,10
"DKW",1,10
"DKW",0.49089304654984,10
"DKW",0.678472949551439,10
"DKW",1,10
"DKW",0.979311894763333,10
"DKW",1,10
"DKW",0.366890247929744,10
"DKW",0.676636377547276,10
"DKW",0.841176858466771,10
"DKW",0.659006867237529,10
"DKW",0.167082742544513,10
"DKW",0.631442134923627,10
"DKW",0.914924207960265,10
"DKW",0.291456422946794,10
"DKW",0.451873120098564,10
"DKW",0.887944578949105,10
"DKW",0.704772230429902,10
"DKW",0.810745604142418,10
"DKW",1,10
"DKW",0.551361619009881,10
"DKW",0.470370621229177,10
"DKW",0.692637975874836,10
"DKW",0.49159206251093,10
"DKW",0.900131522797137,10
"DKW",0.640330254677463,10
"DKW",0.189720141355991,10
"DKW",0.88626612343435,10
"DKW",0.311194783774551,10
"DKW",0.905981126907542,10
"DKW",1,10
"DKW",0.805535568829828,10
"DKW",0.998925931376506,10
"DKW",0.89820477083918,10
"DKW",0.67056919960513,10
"DKW",1,10
"DKW",0.358148977938468,10
"DKW",0.864785886976383,10
"DKW",0.930090826356844,10
"DKW",0.657684227479347,10
"DKW",0.496242983196901,10
"DKW",0.660884586839732,10
"DKW",0.271602557964767,10
"DKW",0.475001374054287,10
"DKW",0.62724205492214,10
"DKW",0.907842790030823,10
"DKW",0.764299391181093,10
"DKW",0.970658535348761,10
"DKW",0.558548258120599,10
"DKW",0.953976463474906,10
"DKW",0.804748270209846,10
"DKW",0.788437043463642,10
"DKW",0.687934566043152,10
"DKW",0.384919524000494,10
"DKW",1,10
"DKW",1,10
"DKW",0.388585869846232,10
"DKW",0.911740138562624,10
"DKW",1,10
"DKW",0.606451984266644,10
"DKW",0.685843584266978,10
"DKW",0.993807936642787,10
"DKW",0.641942197298853,10
"DKW",1,10
"DKW",0.530519976467574,10
"DKW",0.602483382220792,10
"DKW",0.430180144722744,10
"DKW",0.826509704593518,10
"DKW",0.665515994542198,10
"DKW",0.855042495036768,10
"DKW",0.780813860234911,10
"DKW",0.94993032546732,10
"DKW",1,10
"DKW",0.991728466300948,10
"DKW",1,10
"DKW",0.953318444949099,10
"DKW",0.765921793822431,10
"DKW",0.600856983550018,10
"DKW",0.127478528525869,10
"DKW",0.988040442793253,10
"DKW",0.801999960476763,10
"DKW",0.559295225341246,10
"DKW",0.513650250553334,10
"DKW",0.803123780063512,10
"DKW",1,10
"DKW",0.798628389619987,10
"DKW",0.847352503262658,10
"DKW",0.701333388249276,10
"DKW",0.644074346770618,10
"DKW",0.601163460898972,10
"DKW",0.528972723127255,10
"DKW",0.348475332085591,10
"DKW",0.848366944051856,10
"DKW",0.673486701076781,10
"DKW",1,10
"DKW",0.618075405534889,10
"DKW",0.888437106339901,10
"DKW",0.795319516614333,10
"DKW",1,10
"DKW",0.894397089394946,10
"DKW",0.639928948396989,10
"DKW",0.744428263598441,10
"DKW",1,10
"DKW",0.823594217842672,10
"DKW",1,10
"DKW",1,10
"DKW",0.854254083855211,10
"DKW",0.840442479484063,10
"DKW",0.2929961664201,10
"DKW",1,10
"DKW",0.529635671100485,10
"DKW",0.424908613696763,10
"DKW",0.868773338663793,10
"DKW",0.246086636992207,10
"DKW",0.336239288818785,10
"DKW",0.697633546763075,10
"DKW",0.717093399018262,10
"DKW",0.919902178699823,10
"DKW",0.813434655338717,10
"DKW",0.71188526935033,10
"DKW",0.586301866484381,10
"DKW",0.870933836612536,10
"DKW",1,10
"DKW",0.937250155870551,10
"DKW",0.970295181394309,10
"DKW",0.867410241004168,10
"DKW",1,10
"DKW",0.61197353207037,10
"DKW",0.240477729799586,10
"DKW",0.356305314725369,10
"DKW",0.956769629124004,10
"DKW",0.914394454891244,10
"DKW",0.741644391452725,10
"DKW",0.685249136569427,10
"DKW",0.379473589491895,10
"DKW",0.64673373610021,10
"DKW",0.356004855097122,10
"DKW",0.454946167256309,10
"DKW",0.917516156633708,10
"DKW",1,10
"DKW",0.840822736968393,10
"DKW",0.521492125222932,10
"DKW",0.181580582634261,10
"DKW",0.729510870575298,10
"DKW",0.853616195501412,10
"DKW",0.523243532975386,10
"DKW",0.32708414837747,10
"DKW",1,10
"DKW",0.896776017951052,10
"DKW",0.55040183865208,10
"DKW",0.409190938103479,10
"DKW",1,10
"DKW",0.539207303737283,10
"DKW",0.302699805432557,10
"DKW",0.822357593653253,10
"DKW",0.525798027711053,10
"DKW",0.712402364952531,10
"DKW",0.557957155431741,10
"DKW",0.424349835821035,10
"DKW",1,10
"DKW",0.407046744329971,10
"DKW",0.843497996782451,10
"DKW",0.633029894123805,10
"DKW",0.777863638765054,10
"DKW",0.50900361853615,10
"DKW",0.906455983903606,10
"DKW",1,10
"DKW",0.693379819255756,10
"DKW",0.345862411181655,10
"DKW",0.458646386393981,10
"DKW",0.383591930510995,10
"DKW",0.725857856378098,10
"DKW",0.986205917310601,10
"DKW",0.628626125821956,10
"DKW",0.606594965727199,10
"DKW",0.55779459138207,10
"DKW",0.611808440360875,10
"DKW",0.645828635845848,10
"DKW",1,10
"DKW",0.755031792064956,10
