"bound","pi_hat","m"
"DKW",0.595730939686601,10
"DKW",0.420936451925093,10
"DKW",1,10
"DKW",1,10
"DKW",0.650501682974629,10
"DKW",0.935915014948683,10
"DKW",0.752179203215436,10
"DKW",1,10
"DKW",0.549494712285597,10
"DKW",0.775176565925108,10
"DKW",0.949071029963466,10
"DKW",0.821977947718684,10
"DKW",1,10
"DKW",0.554329062277091,10
"DKW",0.848282052869058,10
"DKW",0.777766062470143,10
"DKW",0.52043940765482,10
"DKW",0.560016019514099,10
"DKW",0.608476288144925,10
"DKW",0.335463280535644,10
"DKW",1,10
"DKW",0.589184270894511,10
"DKW",0.501950612099793,10
"DKW",0.692845540578369,10
"DKW",0.861698872919186,10
"DKW",0.943887888441209,10
"DKW",0.511032797462706,10
"DKW",0.735787068700253,10
"DKW",1,10
"DKW",0.682087590204911,10
"DKW",0.537796062270701,10
"DKW",0.618946414283666,10
"DKW",1,10
"DKW",0.886351566314312,10
"DKW",0.621032787405869,10
"DKW",0.438134963911827,10
"DKW",1,10
"DKW",0.918654493426727,10
"DKW",1,10
"DKW",0.966113663850731,10
"DKW",0.835261607263929,10
"DKW",0.502177146965077,10
"DKW",0.492151931892408,10
"DKW",0.598856717796765,10
"DKW",0.302048044514668,10
"DKW",0.58248422633369,10
"DKW",0.596098420192605,10
"DKW",0.410296056594783,10
"DKW",0.628059938098946,10
"DKW",0.948291705177042,10
"DKW",1,10
"DKW",0.26807490436179,10
"DKW",1,10
"DKW",0.882661998203688,10
"DKW",0.422030093083406,10
"DKW",0.712998827406442,10
"DKW",1,10
"DKW",0.405450204706174,10
"DKW",0.734379420128286,10
"DKW",0.802601959117948,10
"DKW",1,10
"DKW",0.951702142863857,10
"DKW",0.79597749943478,10
"DKW",0.717954409330058,10
"DKW",0.702476753160938,10
"DKW",0.613519409473654,10
"DKW",0.873078698861201,10
"DKW",1,10
"DKW",0.588842841752978,10
"DKW",0.2978836940975,10
"DKW",0.351848653553665,10
"DKW",1,10
"DKW",0.523591166963683,10
"DKW",0.782974854733549,10
"DKW",0.872319208047457,10
"DKW",0.802165568607025,10
"DKW",0.447335112813412,10
"DKW",0.283175436677652,10
"DKW",0.624510368095786,10
"DKW",0.36958595993918,10
"DKW",0.85684979028072,10
"DKW",0.692731865017779,10
"DKW",1,10
"DKW",0.478355701010347,10
"DKW",0.883432165015836,10
"DKW",0.795702542235101,10
"DKW",0.358966761566288,10
"DKW",0.569205858835211,10
"DKW",0.624501292090799,10
"DKW",0.512258034194164,10
"DKW",0.934452080485958,10
"DKW",0.920996213073227,10
"DKW",0.85934207407914,10
"DKW",0.49712778725585,10
"DKW",0.32368760689795,10
"DKW",0.530080903116651,10
"DKW",0.92243799846125,10
"DKW",1,10
"DKW",0.467198946700577,10
"DKW",1,10
"DKW",0.654358611199275,10
"DKW",0.997017512400557,10
"DKW",1,10
"DKW",0.981484854549741,10
"DKW",0.805348934938181,10
"DKW",0.223046994061387,10
"DKW",0.618383753933833,10
"DKW",0.872028941379092,10
"DKW",0.832769362663776,10
"DKW",0.947875331712536,10
"DKW",0.65227582533649,10
"DKW",0.7021544741828,10
"DKW",0.324362847405476,10
"DKW",0.156920877509911,10
"DKW",0.987190578772025,10
"DKW",0.841475368026066,10
"DKW",1,10
"DKW",0.680586692147576,10
"DKW",0.869948215997499,10
"DKW",0.811253351567679,10
"DKW",0.652815988829193,10
"DKW",0.746318174707138,10
"DKW",0.538639414373027,10
"DKW",0.653857475510243,10
"DKW",1,10
"DKW",0.646048549391193,10
"DKW",1,10
"DKW",0.727676037308811,10
"DKW",0.705237977756253,10
"DKW",0.348472548343619,10
"DKW",0.521588709251839,10
"DKW",0.55429186845479,10
"DKW",0.410005021975991,10
"DKW",0.908741035427793,10
"DKW",0.987979868663522,10
"DKW",1,10
"DKW",0.952714755445137,10
"DKW",0.741234143607019,10
"DKW",0.565144524153979,10
"DKW",0.540471772948952,10
"DKW",0.43421010999087,10
"DKW",0.426478535526747,10
"DKW",1,10
"DKW",0.921539925272972,10
"DKW",0.657726838651339,10
"DKW",0.362522830482885,10
"DKW",0.260400406410114,10
"DKW",0.767464894203641,10
"DKW",0.599023045743288,10
"DKW",0.437054625546037,10
"DKW",0.911360352152573,10
"DKW",0.900184878828427,10
"DKW",1,10
"DKW",0.707856369363359,10
"DKW",1,10
"DKW",0.404391014671274,10
"DKW",0.99457351370754,10
"DKW",1,10
"DKW",0.735709013291993,10
"DKW",0.59695126684433,10
"DKW",0.709177776501765,10
"DKW",0.564856423855179,10
"DKW",0.853718900563071,10
"DKW",0.5478671235856,10
"DKW",0.238665282562761,10
"DKW",0.85754952497399,10
"DKW",0.255505739329925,10
"DKW",0.861461078272473,10
"DKW",1,10
"DKW",0.826152232662909,10
"DKW",0.594069107329445,10
"DKW",0.976572776244288,10
"DKW",0.831083157791295,10
"DKW",0.464909172346095,10
"DKW",1,10
"DKW",0.910009777340038,10
"DKW",0.754839726811348,10
"DKW",0.735666126944323,10
"DKW",0.532283573158644,10
"DKW",0.542455238270003,10
"DKW",0.657666854439457,10
"DKW",0.730231613981952,10
"DKW",0.892780124704197,10
"DKW",0.918890177771241,10
"DKW",0.623732199799904,10
"DKW",0.986265949720655,10
"DKW",1,10
"DKW",0.672726080735334,10
"DKW",0.707878107436847,10
"DKW",0.871046966019769,10
"DKW",0.654761339043556,10
"DKW",0.772616834481981,10
"DKW",0.708009033183239,10
"DKW",0.804069226998336,10
"DKW",0.223019577139512,10
"DKW",0.262390405137617,10
"DKW",0.451864961172722,10
"DKW",0.986357330177473,10
"DKW",0.362735240939221,10
"DKW",0.975673803173887,10
"DKW",0.675209614427749,10
"DKW",0.704656236116103,10
"DKW",0.836694278622288,10
"DKW",0.989881437375295,10
"DKW",0.968699324377423,10
"DKW",1,10
"DKW",0.693536485967088,10
"DKW",0.879653472064567,10
"DKW",1,10
"DKW",0.717024692888937,10
"DKW",0.502180644660098,10
"DKW",0.736913793012342,10
"DKW",0.978700088238545,10
"DKW",0.745383580644177,10
"DKW",0.375358339208984,10
"DKW",0.521243422581868,10
"DKW",0.730247779030688,10
"DKW",0.475939098761153,10
"DKW",1,10
"DKW",0.540445683478146,10
"DKW",1,10
"DKW",0.830629363470117,10
"DKW",1,10
"DKW",0.571715283758708,10
"DKW",0.646678711603866,10
"DKW",0.956273767101893,10
"DKW",0.517230790537804,10
"DKW",0.768810217021742,10
"DKW",0.463960964407045,10
"DKW",0.78639204267902,10
"DKW",0.676299352008441,10
"DKW",0.802849127067952,10
"DKW",0.75169059200235,10
"DKW",0.536574892089476,10
"DKW",0.114277954704565,10
"DKW",0.873144133753386,10
"DKW",0.420328597918248,10
"DKW",0.592651899025904,10
"DKW",0.810795485542678,10
"DKW",0.850068601715525,10
"DKW",1,10
"DKW",0.784608456280643,10
"DKW",1,10
"DKW",0.614848214735309,10
"DKW",0.650477329842005,10
"DKW",0.800914265074083,10
"DKW",1,10
"DKW",0.184009498672124,10
"DKW",0.609112516931887,10
"DKW",1,10
"DKW",0.947913289846831,10
"DKW",0.579781757296585,10
"DKW",0.917920150741258,10
"DKW",0.541347869335943,10
"DKW",0.622589650339533,10
"DKW",0.9995439165421,10
"DKW",0.689547208407375,10
"DKW",0.958533857616294,10
"DKW",0.54394492800583,10
"DKW",0.662719942246332,10
"DKW",0.689756899483441,10
"DKW",0.841759084849131,10
"DKW",0.332805014951231,10
"DKW",0.974245931627032,10
"DKW",0.949793863768855,10
"DKW",0.555200273078755,10
"DKW",0.880088989634894,10
"DKW",0.503843354381851,10
"DKW",0.865261010404057,10
"DKW",0.944322714025021,10
"DKW",0.78766208833382,10
"DKW",0.78934547874098,10
"DKW",0.790847030703441,10
"DKW",0.896470709870326,10
"DKW",0.598846337404304,10
"DKW",0.697174490392573,10
"DKW",0.192972780554726,10
"DKW",0.864566098299482,10
"DKW",0.84087032426219,10
"DKW",0.572237913832403,10
"DKW",0.545400771760329,10
"DKW",0.886129152045205,10
"DKW",0.98856117083317,10
"DKW",0.940562902603389,10
"DKW",1,10
"DKW",1,10
"DKW",0.708854158496049,10
"DKW",0.92144389935995,10
"DKW",0.99656807980524,10
"DKW",0.803922470082371,10
"DKW",0.981107312717879,10
"DKW",0.516427231334945,10
"DKW",0.778551618658292,10
"DKW",0.827552660057009,10
"DKW",0.957586560372507,10
"DKW",1,10
"DKW",1,10
"DKW",0.597546032474112,10
"DKW",0.291075799698827,10
"DKW",0.425250735228866,10
"DKW",0.920090169559959,10
"DKW",0.847984247184766,10
"DKW",0.623515686161154,10
"DKW",0.853537589786033,10
"DKW",0.703205822184087,10
"DKW",0.750979273260473,10
"DKW",0.834724848424331,10
"DKW",0.815718334208914,10
"DKW",0.863177261821029,10
"DKW",0.713476072633032,10
"DKW",1,10
"DKW",0.726172548522906,10
"DKW",0.837934958551384,10
"DKW",0.69337299388465,10
"DKW",0.411079028544857,10
"DKW",1,10
"DKW",1,10
"DKW",0.845028299416988,10
"DKW",0.755465568067128,10
"DKW",1,10
"DKW",1,10
"DKW",0.537872370413447,10
"DKW",0.972437918318014,10
"DKW",0.88544832891423,10
"DKW",0.835470893923435,10
"DKW",0.642703516925354,10
"DKW",1,10
"DKW",0.72522054401261,10
"DKW",0.743823677950574,10
"DKW",1,10
"DKW",0.990315545635591,10
"DKW",0.834029593934671,10
"DKW",0.927412466364231,10
"DKW",0.4985199126625,10
"DKW",0.661960250453973,10
"DKW",0.536220705845078,10
"DKW",0.561303046025915,10
"DKW",0.721809395348807,10
"DKW",0.893291570701844,10
"DKW",1,10
"DKW",0.739186349119446,10
"DKW",0.241274965357214,10
"DKW",1,10
"DKW",0.875171662230721,10
"DKW",1,10
"DKW",0.640099864990616,10
"DKW",1,10
